LOD
2.5319
2.5864
2.6674
2.7494
2.8136
2.85
2.8551
2.8296
2.777
2.7056
2.6275
2.5574
2.5111
2.5043
2.5514
2.6599
2.8244
3.0204
3.2073
3.3395
3.3855
3.338
3.215
3.0523
2.8895
2.76
2.6855
2.6724
2.7138
2.7917
2.8812
2.9598
3.0115
3.0288
3.0114
2.9633
2.8924
2.8096
2.7288
2.6652
2.6346
2.6517
2.7278
2.8667
3.0558
3.2612
3.4343
3.5283
3.517
3.4066
3.2327
3.0449
2.8872
2.7875
2.7533
2.7771
2.8431
2.9305
3.0182
3.0876
3.1259
3.1287
3.0982
3.0415
2.969
2.8934
2.8292
2.7909
2.7936
2.8498
2.968
3.1456
3.3623
3.5783
3.7419
3.8081
3.7586
3.612
3.4166
3.2289
3.0921
3.0246
3.021
3.0635
3.1314
3.2053
3.2692
3.3096
3.3178
3.2924
3.2381
3.1647
3.0843
3.0098
2.9552
2.9334
2.9567
3.0343
3.1686
3.3507
3.5559
3.743
3.8647
3.8848
3.7961
3.6268
3.4296
3.2597
3.1529
3.1162
3.1339
3.1813
3.2364
3.2836
3.3122
3.3145
3.2866
3.2298
3.1517
3.0645
2.981
2.9143
2.8764
2.8779
2.9269
3.0261
3.1702
3.343
3.5165
3.6541
3.7198
3.6924
3.5774
3.4087
3.2374
3.1103
3.0514
3.0564
3.1018
3.1595
3.2064
3.2288
3.2211
3.1811
3.1104
3.0144
2.9034
2.7911
2.6909
2.6154
2.5755
2.5793
2.6297
2.7211
2.8377
2.9557
3.0468
3.0834
3.0464
2.9338
2.765
2.5767
2.4129
2.307
2.27
2.2876
2.3315
2.3734
2.3945
2.3878
2.3528
2.2919
2.2092
2.1139
2.0184
1.9371
1.884
1.8704
1.9044
1.9894
2.12
2.2795
2.4419
2.5765
2.6567
2.6678
2.6111
2.5031
2.3731
2.2558
2.1828
2.1709
2.2161
2.2978
2.3862
2.4549
2.4891
2.4854
2.4474
2.382
2.2972
2.2047
2.1183
2.0527
2.0218
2.0358
2.1007
2.2157
2.3694
2.5366
2.6819
2.7702
2.7796
2.7097
2.5814
2.4287
2.2873
2.1868
2.1431
2.1567
2.2136
2.29
2.3605
2.4052
2.4132
2.3843
2.3255
2.2472
2.1605
2.0775
2.0131
1.9818
1.9951
2.0602
2.1795
2.3479
2.5476
2.746
2.9015
2.9783
2.961
2.8632
2.7223
2.5836
2.4848
2.4464
2.4705
2.5449
2.6494
2.7604
2.8554
2.9183
2.9418
2.9279
2.886
2.8285
2.7681
2.7183
2.6923
2.7022
2.7569
2.8618
3.017
3.2136
3.4292
3.6272
3.7647
3.809
3.7533
3.6223
3.4638
3.3279
3.2478
3.2319
3.2687
3.3368
3.4131
3.4782
3.517
3.52
3.4859
3.4215
3.337
3.2451
3.1599
3.0942
3.0585
3.0613
3.1086
3.2025
3.3393
3.5062
3.679
3.8219
3.8967
3.8784
3.7691
3.6016
3.4264
3.2899
3.2169
3.2046
3.2313
3.2704
3.3022
3.3147
3.2995
3.2527
3.1761
3.076
2.9639
2.8536
2.7597
2.6938
2.6642
2.6768
2.7336
2.8322
2.9635
3.1102
3.2465
3.3429
3.3745
3.3297
3.2187
3.0762
2.9497
2.8768
2.8689
2.9118
2.977
3.0356
3.0698
3.0733
3.0462
2.9918
2.9156
2.8264
2.7365
2.66
2.609
2.5918
2.6129
2.6731
2.7695
2.8935
3.0302
3.1596
3.2585
3.3053
3.2867
3.2049
3.0808
2.9502
2.8521
2.8114
2.8281
2.8811
2.939
2.9745
2.9745
2.939
2.8741
2.7873
2.6878
2.5865
2.4961
2.4297
2.3977
2.4058
2.4559
2.5457
2.6665
2.802
2.9297
3.0258
3.071
3.0571
2.9885
2.8831
2.7688
2.6778
2.6363
2.6544
2.721
2.8081
2.883
2.921
2.9129
2.8629
2.7825
2.6836
2.5781
2.479
2.3992
2.351
2.344
2.3831
2.4681
2.5925
2.7421
2.8934
3.0173
3.0873
3.0894
3.0285
2.926
2.8129
2.7211
2.6754
2.688
2.7545
2.8545
2.9582
3.037
3.0714
3.0568
3.0009
2.9172
2.8197
2.7224
2.6382
2.5801
2.5586
2.5812
2.6514
2.7658
2.915
3.0799
